Sciname,Group,Common,EwE_name,EwE_num,AspectRatio,CommonLength,Swim_mode,Base_rate,Scaled_RD,Scaled_SS,Scaler_Snook,Scaled_avg,Scaler_sd
brama caribbea,oceanic piscivores,CARIBBEAN POMFRET,Oceanic piscivores,43,0.49929,21.8,0,0.78776,16,14,14,15,0
gempylus serpens,oceanic piscivores,SNAKE MACKEREL,Oceanic piscivores,43,1.47497,60,0,2.15003,44,39,38,40,1
lepidocybium flavobrunneum,oceanic piscivores,ESCOLAR,Oceanic piscivores,43,5.26363,150,0,5.90431,121,106,105,111,3
merluccius albidus,oceanic piscivores,OFFSHORE HAKE,Oceanic piscivores,43,1.60087,30,0,1.43979,30,26,26,27,1
ruvettus pretiosus,oceanic piscivores,OILFISH,Oceanic piscivores,43,2.13546,150,0,4.31423,89,78,77,81,2
taractes rubescens,oceanic piscivores,POMFRET,Oceanic piscivores,43,3.20198,30,0,1.83235,38,33,33,34,1
trichiurus lepturus,oceanic piscivores,CUTLASSFISH,Oceanic piscivores,43,1.3545,100,0,2.86439,59,52,51,54,1
astroscopus y-graecum,benthic piscivores,SOUTHERN STARGAZER,Benthic piscivores,44,0.72489,35,0,1.20256,25,22,21,23,1
cyclopsetta chittendeni,benthic piscivores,MEXICAN FLOUNDER,Benthic piscivores,44,1.22829,25,0,1.1728,24,21,21,22,1
cyclopsetta fimbriata,benthic piscivores,SPOTFIN FLOUNDER,Benthic piscivores,44,1.20408,25,0,1.1647,24,21,21,22,1
paralichthys albigutta,benthic piscivores,GULF FLOUNDER,Benthic piscivores,44,1.47554,35,0,1.5398,32,28,27,29,1
paralichthys lethostigma,benthic piscivores,SOUTHERN FLOUNDER,Benthic piscivores,44,1.09752,50,0,1.73276,36,31,31,33,1
saurida brasiliensis,benthic piscivores,LARGESCALE LIZARDFISH,Benthic piscivores,44,1.58273,15,0,0.93338,19,17,17,18,0
saurida normani,benthic piscivores,SHORTJAW LIZARDFISH,Benthic piscivores,44,2.54076,30,0,1.69072,35,30,30,32,1
synodus foetens,benthic piscivores,INSHORE LIZARDFISH,Benthic piscivores,44,1.88281,30,0,1.52336,31,27,27,29,1
synodus intermedius,benthic piscivores,SAND DIVER,Benthic piscivores,44,1.56079,40,0,1.70562,35,31,30,32,1
synodus synodus,benthic piscivores,DIAMOND LIZARDFISH,Benthic piscivores,44,1.82809,20,0,1.17285,24,21,21,22,1
holocentrus adscensionis,reef-rubble-associated piscivores,SQUIRRELFISH,Reef piscivores,45,2.10917,25,0,1.41543,29,26,25,27,1
holocentrus rufus,reef-rubble-associated piscivores,LONGSPINE SQUIRRELFISH,Reef piscivores,45,2.31449,25,0,1.46191,30,26,26,27,1
myripristis jacobus,reef-rubble-associated piscivores,BLACKBAR SOLDIERFISH,Reef piscivores,45,2.76841,20,0,1.35496,28,24,24,25,1
sphyraena barracuda,reef-rubble-associated piscivores,GREAT BARRACUDA,Reef piscivores,45,2.45371,140,0,4.33832,89,78,77,82,2
sphyraena guachancho,reef-rubble-associated piscivores,GUAGUANCHE,Reef piscivores,45,2.18647,70,0,2.7126,56,49,48,51,1
sphyraena picudilla,reef-rubble-associated piscivores,SOUTHERN SENNET,Reef piscivores,45,1.84005,36,0,1.69197,35,30,30,32,1
