"Sciname","EwE_num","EwE_name","Common","Genus","Species","Key","ID_sp","AspectRatio","CommonLength"
"haemulon macrostomum","46","Reef invertebrate feeders","spanish grunt","haemulon","macrostomum","Fis-53542","Sp_335",2.15596,25
"haemulon melanurum","46","Reef invertebrate feeders","cottonwick","haemulon","melanurum","Fis-23526","Sp_293",1.73541,25
"haemulon parra","46","Reef invertebrate feeders","sailors choice","haemulon","parra","Fis-16335","Sp_320",2.27492,30
"haemulon plumierii","46","Reef invertebrate feeders","white grunt","haemulon","plumierii","Fis-148979","Sp_365",2.99803,30
"haemulon sciurus","46","Reef invertebrate feeders","bluestriped grunt","haemulon","sciurus","Fis-23529","Sp_288",2.4678,25
"haemulon striatum","46","Reef invertebrate feeders","striped grunt","haemulon","striatum","Fis-23531","Sp_339",2.75208,17
"halichoeres radiatus","46","Reef invertebrate feeders","puddingwife","halichoeres","radiatus","Fis-23532","Sp_313",1.49584,40
"hemanthias leptus","46","Reef invertebrate feeders","bass, longtail","hemanthias","leptus","Fis-24665","Sp_280",1.255993,35
"heteropriacanthus cruentatus","46","Reef invertebrate feeders","glasseye","heteropriacanthus","cruentatus","Fis-23742","Sp_367",1.83525,20
"lachnolaimus maximus","46","Reef invertebrate feeders","hogfish","lachnolaimus","maximus","Fis-23577","Sp_300",3.9567,35
"lutjanus apodus","46","Reef invertebrate feeders","schoolmaster","lutjanus","apodus","Fis-23612","Sp_322",1.77557,35
"lutjanus synagris","46","Reef invertebrate feeders","lane snapper","lutjanus","synagris","Fis-22798","Sp_304",1.46359,25
"ocyurus chrysurus","46","Reef invertebrate feeders","snapper, yellowtail","ocyurus","chrysurus","Fis-22804","Sp_334",1.73696,40
"paranthias furcifer","46","Reef invertebrate feeders","creole-fish","paranthias","furcifer","Fis-23713","Sp_294",2.55241,20
"pareques acuminatus","46","Reef invertebrate feeders","highhat","pareques","acuminatus","Fis-9630","Sp_376",1.24935,18
"pareques umbrosus","46","Reef invertebrate feeders","cubbyu","pareques","umbrosus","Fis-54212","Sp_377",1.26941,15
"pomadasys crocro","46","Reef invertebrate feeders","burro grunt","pomadasys","crocro","Fis-23735","Sp_290",1.72994,25
"priacanthus arenatus","46","Reef invertebrate feeders","bigeye","priacanthus","arenatus","Fis-30518","Sp_282",2.04264,35
"pristigenys alta","46","Reef invertebrate feeders","short bigeye","pristigenys","alta","Fis-24918","Sp_330",1.25797,20
"scorpaena plumieri","46","Reef invertebrate feeders","scorpionfish, spotted","scorpaena","plumieri","Fis-53536","Sp_324",0.822696,30
"serranus atrobranchus","46","Reef invertebrate feeders","blackear bass","serranus","atrobranchus","Fis-24992","Sp_285",1.03866,9
"serranus phoebe","46","Reef invertebrate feeders","tattler","serranus","phoebe","Fis-30660","Sp_340",1.255775,15
"xyrichtys novacula","46","Reef invertebrate feeders","pearly razorfish","xyrichtys","novacula","Fis-25198","Sp_397",1.37048,20
"alectis ciliaris","47","Demersal coastal invertebrate feeders","african pompano","alectis","ciliaris","Fis-22977","Sp_399",4.40876,100
