"Sciname","EwE_num","EwE_name","Common","Genus","Species","Key","ID_sp","AspectRatio","CommonLength"
"aluterus scriptus","52","Coastal omnivores","scrawled filefish","aluterus","scriptus","Fis-24410","Sp_633",0.864597,55
"cantherhines pullus","52","Coastal omnivores","orangespotted filefish","cantherhines","pullus","Fis-23408","Sp_640",2.01759,14
"chaetodipterus faber","52","Coastal omnivores","atlantic spadefish","chaetodipterus","faber","Fis-23431","Sp_623",3.23259,50.4
"diodon holocanthus","52","Coastal omnivores","ballonfish","diodon","holocanthus","Fis-31054","Sp_624",0.787045,15
"diodon hystrix","52","Coastal omnivores","porcupinefish","diodon","hystrix","Fis-29912","Sp_629",1.53265,40
"lactophrys bicaudalis","52","Coastal omnivores","spotted trunkfish","lactophrys","bicaudalis","Fis-24724","Sp_636",1.352806,20
"lactophrys trigonus","52","Coastal omnivores","trunkfish","lactophrys","trigonus","Fis-23578","Sp_637",1.2715,30
"lagocephalus laevigatus","52","Coastal omnivores","smooth puffer","lagocephalus","laevigatus","Fis-23579","Sp_634",1.77673,60
"lagodon rhomboides","52","Coastal omnivores","pinfish","lagodon","rhomboides","Fis-24727","Sp_628",2.21993,18
"monacanthus ciliatus","52","Coastal omnivores","fringed filefish","monacanthus","ciliatus","Fis-24788","Sp_645",1.45086,10
"stephanolepis setifer","52","Coastal omnivores","pygmy filefish","stephanolepis","setifer","Fis-23838","Sp_648",0.80885,10
"abudefduf saxatilis","53","Reef omnivores","sergeant major","abudefduf","saxatilis","Fis-23318","Sp_668",1.53883,15
"abudefduf taurus","53","Reef omnivores","night sergeant","abudefduf","taurus","Fis-23319","Sp_671",1.45573,20
"acanthurus bahianus","53","Reef omnivores","ocean surgeon","acanthurus","bahianus","Fis-173416","Sp_661",2.42851,25
"acanthurus chirurgus","53","Reef omnivores","doctorfish","acanthurus","chirurgus","Fis-22976","Sp_655",1.867165,35
"acanthurus coeruleus","53","Reef omnivores","blue tang","acanthurus","coeruleus","Fis-29261","Sp_653",3.48929,25
"balistes vetula","53","Reef omnivores","queen triggerfish","balistes","vetula","Fis-29302","Sp_665",2.785615,30
"chromis multilineata","53","Reef omnivores","brown chromis","chromis","multilineata","Fis-23438","Sp_675",1.56268,12
"holacanthus bermudensis","53","Reef omnivores","blue angelfish","holacanthus","bermudensis","Fis-30117","Sp_651",1.19066,35
"holacanthus ciliaris","53","Reef omnivores","queen angelfish","holacanthus","ciliaris","Fis-24677","Sp_663",0.802962,30
"holacanthus tricolor","53","Reef omnivores","rock beauty","holacanthus","tricolor","Fis-24678","Sp_667",1.10038,30
"kyphosus incisor","53","Reef omnivores","yellow chub","kyphosus","incisor","Fis-23576","Sp_670",2.868075,45
"kyphosus sectatrix","53","Reef omnivores","bermuda chub","kyphosus","sectatrix","Fis-24078","Sp_650",2.7147,50
"pomacanthus arcuatus","53","Reef omnivores","gray angelfish","pomacanthus","arcuatus","Fis-23732","Sp_659",2.06313,45
"pomacanthus paru","53","Reef omnivores","french angelfish","pomacanthus","paru","Fis-23733","Sp_658",1.82706,28
"scarus iseri","53","Reef omnivores","striped parrotfish","scarus","iseri","Fis-145135","Sp_683",1.31655,18
"scarus taeniopterus","53","Reef omnivores","princess parrotfish","scarus","taeniopterus","Fis-30608","Sp_662",1.05368,22
"cheilopogon cyanopterus","54","Surface pelagics","margined flyingfish","cheilopogon","cyanopterus","Fis-26644","Sp_693",2.49332,25
"cheilopogon melanurus","54","Surface pelagics","atlantic flyingfish","cheilopogon","melanurus","Fis-23466","Sp_694",2.880775,25
"cypselurus comatus","54","Surface pelagics","clearwing flyingfish","cypselurus","comatus","Fis-23464","Sp_697",3.467285,15
"exocoetus obtusirostris","54","Surface pelagics","oceanic two-wing flyingfish","exocoetus","obtusirostris","Fis-30017","Sp_699",2.06374,20
"exocoetus volitans","54","Surface pelagics","flyingfish","exocoetus","volitans","Fis-30018","Sp_700",1.798375,20
"hemiramphus balao","54","Surface pelagics","balao","hemiramphus","balao","Fis-30094","Sp_690",2.62357,35
"hemiramphus brasiliensis","54","Surface pelagics","ballyhoo","hemiramphus","brasiliensis","Fis-23537","Sp_691",2.34456,35
"hirundichthys affinis","54","Surface pelagics","fourwing flyingfish","hirundichthys","affinis","Fis-26550","Sp_701",3.037035,24
"hirundichthys rondeletii","54","Surface pelagics","atlantic black wing flyingfish","hirundichthys","rondeletii","Fis-23550","Sp_703",2.913446667,20
"hyporhamphus unifasciatus","54","Surface pelagics","silverstripe halfbeak","hyporhamphus","unifasciatus","Fis-23561","Sp_692",2.0737,20
"parexocoetus brachypterus","54","Surface pelagics","sailfin flyingfish","parexocoetus","brachypterus","Fis-23715","Sp_705",3.00754,16
"scomberesox saurus","54","Surface pelagics","atlantic saury","scomberesox","saurus","Fis-58405","Sp_708",2.16753,32
"cetorhinus maximus","55","Large oceanic planktivores","basking shark","cetorhinus","maximus","Fis-22747","Sp_710",3.16209,700
"alosa chrysochloris","57","Sardine-herring-scad","skipjack herring","alosa","chrysochloris","Fis-23330","Sp_730",3.36921,37.5
"decapterus macarellus","57","Sardine-herring-scad","mackerel scad","decapterus","macarellus","Fis-23106","Sp_721",4.4389,30
"decapterus punctatus","57","Sardine-herring-scad","round scad","decapterus","punctatus","Fis-23107","Sp_724",2.68693,18
"decapterus tabl","57","Sardine-herring-scad","redtail scad","decapterus","tabl","Fis-22187","Sp_722",4.13456,25
"dorosoma cepedianum","57","Sardine-herring-scad","gizzard shad","dorosoma","cepedianum","Fis-23481","Sp_720",2.22035,35
"dorosoma petenense","57","Sardine-herring-scad","shad, threadfin","dorosoma","petenense","Fis-23482","Sp_729",2.902375,10
"etrumeus sadina","57","Sardine-herring-scad","red-eye round herring","etrumeus","sadina","Fis-586","Sp_741",1.97225,25
"harengula clupeola","57","Sardine-herring-scad","false pilchard","harengula","clupeola","Fis-23533","Sp_719",1.63819,10
"harengula humeralis","57","Sardine-herring-scad","redear herring","harengula","humeralis","Fis-23534","Sp_743",2.54586,15
"harengula jaguana","57","Sardine-herring-scad","scaled sardine","harengula","jaguana","Fis-30087","Sp_726",3.39567,12
"opisthonema oglinum","57","Sardine-herring-scad","atlantic thread herring","opisthonema","oglinum","Fis-23682","Sp_716",1.1929,20
"sardinella aurita","57","Sardine-herring-scad","sardine, spanish","sardinella","aurita","Fis-30592","Sp_725",1.59116,25
"sardinella brasiliensis","57","Sardine-herring-scad","brazilian sardinella","sardinella","brasiliensis","Fis-23768","Sp_752",1.06558,20
"trachurus lathami","57","Sardine-herring-scad","rough scad","trachurus","lathami","Fis-22214","Sp_723",1.85523,30
"brevoortia patronus","58,59,60,61,62","Menhaden (0yr)","gulf menhaden","brevoortia","patronus","Fis-29740","Sp_760",1.51921,20
"carcharhinus limbatus","6","Blacktip shark","blacktip shark","carcharhinus","limbatus","Fis-23060","Sp_007",2.000455,150
"anchoa cayorum","63","Anchovy-silverside-killifish","key anchovy","anchoa","cayorum","Fis-23343","Sp_767",1.37548,8
"anchoa hepsetus","63","Anchovy-silverside-killifish","striped anchovy","anchoa","hepsetus","Fis-23349","Sp_770",2.88003,11
"anchoa lyolepis","63","Anchovy-silverside-killifish","dusky anchovy","anchoa","lyolepis","Fis-23351","Sp_764",1.03963,9
"anchoa mitchilli","63","Anchovy-silverside-killifish","bay anchovy","anchoa","mitchilli","Fis-22983","Sp_763",3.39229,5.95
"atherinomorus stipes","63","Anchovy-silverside-killifish","hardhead silverside","atherinomorus","stipes","Fis-24449","Sp_765",2.56911,7.5
"dormitator maculatus","63","Anchovy-silverside-killifish","fat sleeper","dormitator","maculatus","Fis-24543","Sp_777",0.841647,14.5
"hypoatherina harringtonensis","63","Anchovy-silverside-killifish","reef silverside","hypoatherina","harringtonensis","Fis-24689","Sp_786",1.35899,6
"lucania parva","63","Anchovy-silverside-killifish","rainwater killifish","lucania","parva","Fis-24749","Sp_787",1.56345,3.65
"menidia beryllina","63","Anchovy-silverside-killifish","inland silverside","menidia","beryllina","Fis-24770","Sp_766",1.3888,7.75
"mugil cephalus","64","Mullet","mullet, striped (liza)","mugil","cephalus","Fis-29454","Sp_791",2.279495,50
"mugil curema","64","Mullet","mullet, white","mugil","curema","Fis-22157","Sp_792",1.90961,30
"mugil trichodon","64","Mullet","fantail mullet","mugil","trichodon","Fis-22193","Sp_790",1.91617,15
"peprilus paru","65","Butterfish","american harvestfish","peprilus","paru","Fis-64153","Sp_797",2.399115,18
"carcharhinus obscurus","7","Dusky shark","dusky shark","carcharhinus","obscurus","Fis-23064","Sp_008",3.36021,250
"carcharhinus plumbeus","8","Sandbar shark","sandbar shark","carcharhinus","plumbeus","Fis-23066","Sp_009",3.178275,200
"carcharhinus altimus","9","Large coastal sharks","bignose shark","carcharhinus","altimus","Fis-23045","Sp_010",2.519605,250
"carcharhinus brevipinna","9","Large coastal sharks","shark, spinner","carcharhinus","brevipinna","Fis-23051","Sp_016",5.87939,250
"carcharhinus falciformis","9","Large coastal sharks","shark, silky","carcharhinus","falciformis","Fis-23054","Sp_015",2.02629,250
"carcharhinus leucas","9","Large coastal sharks","bull shark","carcharhinus","leucas","Fis-23059","Sp_011",1.44355,260
"carcharhinus signatus","9","Large coastal sharks","night shark","carcharhinus","signatus","Fis-23069","Sp_013",1.63793,200
"carcharias taurus","9","Large coastal sharks","sand tiger","carcharias","taurus","Fis-29388","Sp_020",1.614265,250
"galeocerdo cuvier","9","Large coastal sharks","shark, tiger","galeocerdo","cuvier","Fis-23129","Sp_017",1.385944,500
"hexanchus griseus","9","Large coastal sharks","sixgill shark","hexanchus","griseus","Fis-23157","Sp_018",1.5699765,300
"negaprion brevirostris","9","Large coastal sharks","lemon shark","negaprion","brevirostris","Fis-23194","Sp_012",1.07344,240
