"EwE_num","EwE_name","Common","Sciname","Genus","Species","ID_sp"
"18","Pelagic coastal piscivores","bluefish","pomatomus saltatrix","pomatomus","saltatrix","Sp_153"
"18","Pelagic coastal piscivores","bluntnose jack","hemicaranx amblyrhynchus","hemicaranx","amblyrhynchus","Sp_154"
"18","Pelagic coastal piscivores","bonefish","albula vulpes","albula","vulpes","Sp_155"
"18","Pelagic coastal piscivores","bonito, atlantic","sarda sarda","sarda","sarda","Sp_156"
"18","Pelagic coastal piscivores","bullet mackerel","auxis rochei","auxis","rochei","Sp_157"
"18","Pelagic coastal piscivores","cero","scomberomorus regalis","scomberomorus","regalis","Sp_158"
"18","Pelagic coastal piscivores","chub mackerel","scomber japonicus","scomber","japonicus","Sp_159"
"18","Pelagic coastal piscivores","common snook","centropomus undecimalis","centropomus","undecimalis","Sp_160"
"18","Pelagic coastal piscivores","crevalle jack","caranx hippos","caranx","hippos","Sp_161"
"18","Pelagic coastal piscivores","dolphin","coryphaena hippurus","coryphaena","hippurus","Sp_162"
"18","Pelagic coastal piscivores","flat needlefish","ablennes hians","ablennes","hians","Sp_163"
"18","Pelagic coastal piscivores","frigate mackerel","auxis thazard","auxis","thazard","Sp_164"
"18","Pelagic coastal piscivores","horse-eye jack","caranx latus","caranx","latus","Sp_165"
"18","Pelagic coastal piscivores","houndfish","tylosurus crocodilus","tylosurus","crocodilus","Sp_166"
"18","Pelagic coastal piscivores","hybrid striped bass","morone saxatilis x chrysops","morone","saxatilis","Sp_167"
"18","Pelagic coastal piscivores","jack, almaco","seriola rivoliana","seriola","rivoliana","Sp_168"
"18","Pelagic coastal piscivores","jack, bar","caranx ruber","caranx","ruber","Sp_169"
"18","Pelagic coastal piscivores","jack, black","caranx lugubris","caranx","lugubris","Sp_170"
"18","Pelagic coastal piscivores","jack, crevalle","caranx hippos","caranx","hippos","Sp_171"
"18","Pelagic coastal piscivores","jack, horse-eye","caranx latus","caranx","latus","Sp_172"
"18","Pelagic coastal piscivores","jack, yellow","caranx bartholomaei","caranx","bartholomaei","Sp_173"
"18","Pelagic coastal piscivores","ladyfish","elops saurus","elops","saurus","Sp_174"
"18","Pelagic coastal piscivores","little tunny","euthynnus alletteratus","euthynnus","alletteratus","Sp_175"
"18","Pelagic coastal piscivores","mackerel, cero","scomberomorus regalis","scomberomorus","regalis","Sp_176"
"18","Pelagic coastal piscivores","mackerel, chub","scomber japonicus","scomber","japonicus","Sp_177"
"18","Pelagic coastal piscivores","marlinsucker","remora osteochir","remora","osteochir","Sp_178"
"18","Pelagic coastal piscivores","needlefish, atlantic","strongylura marina","strongylura","marina","Sp_179"
"18","Pelagic coastal piscivores","pilotfish","naucrates ductor","naucrates","ductor","Sp_180"
"18","Pelagic coastal piscivores","pompano dolphin","coryphaena equisetis","coryphaena","equisetis","Sp_181"
"18","Pelagic coastal piscivores","rainbow runner","elagatis bipinnulata","elagatis","bipinnulata","Sp_182"
"18","Pelagic coastal piscivores","redfin needlefish","strongylura notata","strongylura","notata","Sp_183"
"18","Pelagic coastal piscivores","remora","remora remora","remora","remora","Sp_184"
"18","Pelagic coastal piscivores","rudderfish, banded","seriola zonata","seriola","zonata","Sp_185"
"18","Pelagic coastal piscivores","runner, blue","caranx crysos","caranx","crysos","Sp_186"
"18","Pelagic coastal piscivores","runner, rainbow","elagatis bipinnulata","elagatis","bipinnulata","Sp_187"
"18","Pelagic coastal piscivores","sharksucker","echeneis naucrates","echeneis","naucrates","Sp_188"
"18","Pelagic coastal piscivores","snook","centropomus undecimalis","centropomus","undecimalis","Sp_189"
"18","Pelagic coastal piscivores","spearfish remora","remora brachyptera","remora","brachyptera","Sp_190"
"18","Pelagic coastal piscivores","striped bass","morone saxatilis","morone","saxatilis","Sp_191"
"18","Pelagic coastal piscivores","tarpon","megalops atlanticus","megalops","atlanticus","Sp_192"
"18","Pelagic coastal piscivores","tarpon snook","centropomus pectinatus","centropomus","pectinatus","Sp_193"
"18","Pelagic coastal piscivores","tripletail","lobotes surinamensis","lobotes","surinamensis","Sp_194"
"18","Pelagic coastal piscivores","tuna, little tunny","euthynnus alletteratus","euthynnus","alletteratus","Sp_195"
