EwE_num,EwE_name,Common,Sciname
15,Other tunas,"tuna, albacore",thunnus alalunga
15,Other tunas,"tuna, bigeye",thunnus obesus
15,Other tunas,"tuna, blackfin",thunnus atlanticus
15,Other tunas,"tuna, skipjack",euthynnus pelamis
15,Other tunas,albacore tuna,thunnus alalunga
16,Billfish,billfish family,istiophoridae
16,Billfish,billfishes,istiophoridae
16,Billfish,blue marlin,makaira nigricans
16,Billfish,longbill spearfish,tetrapturus pfluegeri
16,Billfish,"marlin, blue",makaira nigricans
16,Billfish,"marlin, white",tetrapturus albidus
16,Billfish,sailfish,istiophorus platypterus
16,Billfish,white marlin,tetrapturus albidus
16,Billfish,billfish,istiophoridae
16,Billfish,atlantic sailfish,istiophorus albicans
16,Billfish,sailfish,istiophorus orientalis
16,Billfish,indo-pacific sailfish,istiophorus platypterus
16,Billfish,shortbill spearfish,tetrapturus anguistirostris
16,Billfish,striped marlin,tetrapturus audax
17,Swordfish,swordfish,xiphias gladius
17,Swordfish,swordfish,xiphias gladias
18,Pelagic coastal piscivores,agujon,tylosurus acus
18,Pelagic coastal piscivores,almaco jack,seriola rivoliana
18,Pelagic coastal piscivores,atlantic bonito,sarda sarda
18,Pelagic coastal piscivores,atlantic mackerel,scomber scombrus
18,Pelagic coastal piscivores,atlantic needlefish,strongylura marina
18,Pelagic coastal piscivores,atlantic tarpon,megalops atlanticus
18,Pelagic coastal piscivores,banded rudderfish,seriola zonata
18,Pelagic coastal piscivores,bar jack,caranx ruber
18,Pelagic coastal piscivores,"bass, striped",morone saxatilis
18,Pelagic coastal piscivores,black jack,caranx lugubris
18,Pelagic coastal piscivores,blue runner,caranx crysos
18,Pelagic coastal piscivores,bluefish,pomatomus saltatrix
18,Pelagic coastal piscivores,bluntnose jack,hemicaranx amblyrhynchus
18,Pelagic coastal piscivores,bonefish,albula vulpes
18,Pelagic coastal piscivores,"bonito, atlantic",sarda sarda
18,Pelagic coastal piscivores,bullet mackerel,auxis rochei
18,Pelagic coastal piscivores,cero,scomberomorus regalis
18,Pelagic coastal piscivores,chub mackerel,scomber japonicus
18,Pelagic coastal piscivores,common snook,centropomus undecimalis
18,Pelagic coastal piscivores,cottonmouth jack,uraspis secunda
18,Pelagic coastal piscivores,crevalle jack,caranx hippos
18,Pelagic coastal piscivores,dolphin,coryphaena hippurus
18,Pelagic coastal piscivores,dolphin genus,coryphaena spp
18,Pelagic coastal piscivores,dolphin genus,coryphaena
18,Pelagic coastal piscivores,dolphinfish,coryphaena
18,Pelagic coastal piscivores,flat needlefish,ablennes hians
18,Pelagic coastal piscivores,frigate mackerel,auxis thazard
18,Pelagic coastal piscivores,gars,lepisosteidae
18,Pelagic coastal piscivores,horse-eye jack,caranx latus
