Group,Sciname,Common,EwE_name,EwE_num
small coastal sharks,CARCHARHINUS ACRONOTUS,"SHARK, BLACKNOSE",Small coastal sharks,12
small coastal sharks,SPHYRNA TIBURO,"SHARK, BONNETHEAD",Small coastal sharks,12
small coastal sharks,CARCHARHINUS ISODON,"SHARK, FINETOOTH",Small coastal sharks,12
small coastal sharks,CARCHARHINUS POROSUS,SMALLTAIL SHARK,Small coastal sharks,12
small coastal sharks,MUSTELUS CANIS,SMOOTH DOGFISH,Small coastal sharks,12
small coastal sharks,MUSTELUS,SMOOTHHOUND GENUS,Small coastal sharks,12
small coastal sharks,MUSTELUS SPP.,SMOOTHHOUND GENUS,Small coastal sharks,12
small coastal sharks,SQUALUS ACANTHIAS,SPINY DOGFISH,Small coastal sharks,12
small coastal sharks,CARCHARHINUS SEALEI,BLACKSPOT SHARK,Small coastal sharks,12
small coastal sharks,GALEORHINUS GALEUS,SOUPFIN SHARK,Small coastal sharks,12
small coastal sharks,MUSTELUS ANTARCTICUS,GUMMY SHARK,Small coastal sharks,12
small coastal sharks,MUSTELUS MUSTELUS,COMMON SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,MUSTELUS PALUMBES,WHITESPOT SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,MUSTELUS SCHMITTI,NARROWNOSE SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,MUSTELUS SP,SMOOTHHOUND,Small coastal sharks,12
small coastal sharks,PETERODONTUS PORTUSJACKSONI,PORT JACKSON SHARK,Small coastal sharks,12
small coastal sharks,RHIZOPRIONODON SP,SMALL REQUIEM SHARK,Small coastal sharks,12
small coastal sharks,SPHYRNA TIBURO,BONNETHEAD SHARK,Small coastal sharks,12
small coastal sharks,SQUALIDAE,DOGFISH,Small coastal sharks,12
small coastal sharks,SQUALIFORMES,DOGFISH,Small coastal sharks,12
small coastal sharks,SQUALUS MEGALOPS,SHORTNOSE SPURDOG,Small coastal sharks,12
small coastal sharks,SQUALUS SP,DOGFISH,Small coastal sharks,12
small coastal sharks,TRIAKIS MEGALOPTERUS,SHARPTOOTH HOUNDSHARK,Small coastal sharks,12
yellowfin tuna,THUNNUS ALBACARES,"TUNA, YELLOWFIN",Yellowfin tuna,13
yellowfin tuna,THUNNUS ALBACARES,YELLOWFIN TUNA,Yellowfin tuna,13
bluefin tuna,THUNNUS THYNNUS,BLUEFIN TUNA,Bluefin tuna,14
bluefin tuna,THUNNUS THYNNUS,"TUNA, BLUEFIN",Bluefin tuna,14
bluefin tuna,THUNNUS MACCOYII,SOUTHERN BLUEFIN TUNA,Bluefin tuna,14
bluefin tuna,THUNNUS THYNNUS,ATLANTIC BLUEFIN TUNA,Bluefin tuna,14
other tuna,THUNNUS ALALUNGA,ALBACORE,Other tunas,15
other tuna,THUNNUS OBESUS,BIGEYE TUNA,Other tunas,15
other tuna,THUNNUS ATLANTICUS,BLACKFIN TUNA,Other tunas,15
other tuna,EUTHYNNUS PELAMIS,SKIPJACK TUNA,Other tunas,15
other tuna,KATSUWONUS PELAMIS,SKIPJACK TUNA,Other tunas,15
other tuna,THUNNUS ALALUNGA,"TUNA, ALBACORE",Other tunas,15
other tuna,THUNNUS OBESUS,"TUNA, BIGEYE",Other tunas,15
other tuna,THUNNUS ATLANTICUS,"TUNA, BLACKFIN",Other tunas,15
other tuna,EUTHYNNUS PELAMIS,"TUNA, SKIPJACK",Other tunas,15
other tuna,THUNNUS ALALUNGA,ALBACORE TUNA,Other tunas,15
billfish,ISTIOPHORIDAE,BILLFISH FAMILY,Billfish,16
billfish,ISTIOPHORIDAE,BILLFISHES,Billfish,16
billfish,MAKAIRA NIGRICANS,BLUE MARLIN,Billfish,16
lionfish,PTEROIS VOLITANS,LIONFISH,Billfish,16
lionfish,PTEROIS,LIONFISH GENUS,Billfish,16
billfish,TETRAPTURUS PFLUEGERI,LONGBILL SPEARFISH,Billfish,16
billfish,MAKAIRA NIGRICANS,"MARLIN, BLUE",Billfish,16
billfish,TETRAPTURUS ALBIDUS,"MARLIN, WHITE",Billfish,16
billfish,ISTIOPHORUS PLATYPTERUS,SAILFISH,Billfish,16
billfish,TETRAPTURUS ALBIDUS,WHITE MARLIN,Billfish,16
billfish,ISTIOPHORIDAE,BILLFISH,Billfish,16
billfish,ISTIOPHORUS ALBICANS,ATLANTIC SAILFISH,Billfish,16
billfish,ISTIOPHORUS ORIENTALIS,SAILFISH,Billfish,16
billfish,ISTIOPHORUS PLATYPTERUS,INDO-PACIFIC SAILFISH,Billfish,16
billfish,TETRAPTURUS ANGUISTIROSTRIS,SHORTBILL SPEARFISH,Billfish,16
billfish,TETRAPTURUS AUDAX,STRIPED MARLIN,Billfish,16
swordfish,XIPHIAS GLADIUS,SWORDFISH,Swordfish,17
swordfish,XIPHIAS GLADIAS,SWORDFISH,Swordfish,17
pelagic coastal piscivores,TYLOSURUS ACUS,AGUJON,Pelagic coastal piscivores,18
pelagic coastal piscivores,SERIOLA RIVOLIANA,ALMACO JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,SARDA SARDA,ATLANTIC BONITO,Pelagic coastal piscivores,18
pelagic coastal piscivores,SCOMBER SCOMBRUS,ATLANTIC MACKEREL,Pelagic coastal piscivores,18
pelagic coastal piscivores,STRONGYLURA MARINA,ATLANTIC NEEDLEFISH,Pelagic coastal piscivores,18
coastal piscivores,MEGALOPS ATLANTICUS,ATLANTIC TARPON,Pelagic coastal piscivores,18
pelagic coastal piscivores,SERIOLA ZONATA,BANDED RUDDERFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX RUBER,BAR JACK,Pelagic coastal piscivores,18
coastal piscivores,MORONE SAXATILIS,"BASS, STRIPED",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX LUGUBRIS,BLACK JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX CRYSOS,BLUE RUNNER,Pelagic coastal piscivores,18
pelagic coastal piscivores,POMATOMUS SALTATRIX,BLUEFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,HEMICARANX AMBLYRHYNCHUS,BLUNTNOSE JACK,Pelagic coastal piscivores,18
coastal piscivores,ALBULA VULPES,BONEFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,SARDA SARDA,"BONITO, ATLANTIC",Pelagic coastal piscivores,18
pelagic coastal piscivores,AUXIS ROCHEI,BULLET MACKEREL,Pelagic coastal piscivores,18
pelagic coastal piscivores,SCOMBEROMORUS REGALIS,CERO,Pelagic coastal piscivores,18
pelagic coastal piscivores,SCOMBER JAPONICUS,CHUB MACKEREL,Pelagic coastal piscivores,18
coastal piscivores,CENTROPOMUS UNDECIMALIS,COMMON SNOOK,Pelagic coastal piscivores,18
pelagic coastal piscivores,URASPIS SECUNDA,COTTONMOUTH JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX HIPPOS,CREVALLE JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA HIPPURUS,DOLPHIN,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA SPP.,DOLPHIN GENUS,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA,DOLPHIN GENUS,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA,DOLPHINFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,ABLENNES HIANS,FLAT NEEDLEFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,AUXIS THAZARD,FRIGATE MACKEREL,Pelagic coastal piscivores,18
coastal piscivores,LEPISOSTEIDAE,GARS,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX LATUS,HORSE-EYE JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,TYLOSURUS CROCODILUS,HOUNDFISH,Pelagic coastal piscivores,18
coastal piscivores,NA,HYBRID STRIPED BASS,Pelagic coastal piscivores,18
coastal piscivores,MORONE SAXATILIS X CHRYSOPS,HYBRID STRIPED BASS,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANGIDAE,JACK FAMILY,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX,JACK GENUS,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX SPP.,JACK GENUS,Pelagic coastal piscivores,18
pelagic coastal piscivores,SERIOLA RIVOLIANA,"JACK, ALMACO",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX RUBER,"JACK, BAR",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX LUGUBRIS,"JACK, BLACK",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX HIPPOS,"JACK, CREVALLE",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX LATUS,"JACK, HORSE-EYE",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX BARTHOLOMAEI,"JACK, YELLOW",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANGIDAE,JACKS,Pelagic coastal piscivores,18
coastal piscivores,ELOPS SAURUS,LADYFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,EUTHYNNUS ALLETTERATUS,LITTLE TUNNY,Pelagic coastal piscivores,18
pelagic coastal piscivores,SCOMBER,MACKEREL (SCOMBER),Pelagic coastal piscivores,18
pelagic coastal piscivores,SCOMBEROMORUS REGALIS,"MACKEREL, CERO",Pelagic coastal piscivores,18
pelagic coastal piscivores,SCOMBER JAPONICUS,"MACKEREL, CHUB",Pelagic coastal piscivores,18
pelagic coastal piscivores,REMORA OSTEOCHIR,MARLINSUCKER,Pelagic coastal piscivores,18
pelagic coastal piscivores,BELONIDAE,NEEDLEFISH FAMILY,Pelagic coastal piscivores,18
pelagic coastal piscivores,TYLOSURUS,NEEDLEFISH GENUS,Pelagic coastal piscivores,18
pelagic coastal piscivores,TYLOSURUS SPP.,NEEDLEFISH GENUS,Pelagic coastal piscivores,18
pelagic coastal piscivores,STRONGYLURA MARINA,"NEEDLEFISH, ATLANTIC",Pelagic coastal piscivores,18
pelagic coastal piscivores,NA,PACIFIC BONITO,Pelagic coastal piscivores,18
pelagic coastal piscivores,NAUCRATES DUCTOR,PILOTFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA EQUISETIS,POMPANO DOLPHIN,Pelagic coastal piscivores,18
pelagic coastal piscivores,ELAGATIS BIPINNULATA,RAINBOW RUNNER,Pelagic coastal piscivores,18
pelagic coastal piscivores,STRONGYLURA NOTATA,REDFIN NEEDLEFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,REMORA REMORA,REMORA,Pelagic coastal piscivores,18
pelagic coastal piscivores,ECHENEIDAE,REMORA FAMILY,Pelagic coastal piscivores,18
pelagic coastal piscivores,REMORA,REMORA GENUS,Pelagic coastal piscivores,18
pelagic coastal piscivores,SERIOLA ZONATA,"RUDDERFISH, BANDED",Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX CRYSOS,"RUNNER, BLUE",Pelagic coastal piscivores,18
pelagic coastal piscivores,ELAGATIS BIPINNULATA,"RUNNER, RAINBOW",Pelagic coastal piscivores,18
pelagic coastal piscivores,ECHENEIS NAUCRATES,SHARKSUCKER,Pelagic coastal piscivores,18
pelagic coastal piscivores,ECHENEIS,SHARKSUCKER GENUS,Pelagic coastal piscivores,18
coastal piscivores,CENTROPOMUS UNDECIMALIS,SNOOK,Pelagic coastal piscivores,18
coastal piscivores,CENTROPOMUS SPP.,SNOOK GENUS,Pelagic coastal piscivores,18
coastal piscivores,CENTROPOMUS,SNOOK GENUS,Pelagic coastal piscivores,18
coastal piscivores,NA,"SNOOK, UNIDENTIFIED",Pelagic coastal piscivores,18
pelagic coastal piscivores,REMORA BRACHYPTERA,SPEARFISH REMORA,Pelagic coastal piscivores,18
coastal piscivores,MORONE SAXATILIS,STRIPED BASS,Pelagic coastal piscivores,18
pelagic coastal piscivores,CATOSTOMIDAE,SUCKERS,Pelagic coastal piscivores,18
coastal piscivores,MEGALOPS ATLANTICUS,TARPON,Pelagic coastal piscivores,18
coastal piscivores,ELOPIDAE,TARPON FAMILY,Pelagic coastal piscivores,18
coastal piscivores,CENTROPOMUS PECTINATUS,TARPON SNOOK,Pelagic coastal piscivores,18
pelagic coastal piscivores,LOBOTES SURINAMENSIS,TRIPLETAIL,Pelagic coastal piscivores,18
pelagic coastal piscivores,EUTHYNNUS ALLETTERATUS,"TUNA, LITTLE TUNNY",Pelagic coastal piscivores,18
pelagic coastal piscivores,ACANTHOCYBIUM SOLANDRI,WAHOO,Pelagic coastal piscivores,18
pelagic coastal piscivores,ECHENEIS NEUCRATOIDES,WHITEFIN SHARKSUCKER,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX BARTHOLOMAEI,YELLOW JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,ATHERINA HEPSETUS,MEDITERRANEAN SAND SMELT,Pelagic coastal piscivores,18
pelagic coastal piscivores,AUXIS ROCHEI,BULLET TUNA,Pelagic coastal piscivores,18
pelagic coastal piscivores,AUXIS SP,FRIGATE TUNA,Pelagic coastal piscivores,18
pelagic coastal piscivores,AUXIS THAZARD,FRIGATE TUNA,Pelagic coastal piscivores,18
pelagic coastal piscivores,AUXIS THAZARD THAZARD,FRIGATE TUNA,Pelagic coastal piscivores,18
pelagic coastal piscivores,BELONIDAE,NEEDLEFISH,Pelagic coastal piscivores,18
