"","Blacktip shark","Dusky shark","Sandbar shark","Lrg. coastal sharks","Lrg. oceanic sharks","Atl. sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invert. fdrs.","Dem. cstl. invrt. fdrs.","Bnthc. cstl. invrt. fdrs.","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Lrg. oceanic planktivores","Sardine-herring-scad","Menhaden","Anchovy-silverside-killifish","Mullet","Butterfish","Red drum","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Seagrass"
"Name","Depth_Blacktip-shark_grp6","Depth_Dusky-shark_grp7","Depth_Sandbar-shark_grp8","Depth_Lrg.-coastal-sharks_grp9","Depth_Lrg.-oceanic-sharks_grp10","Depth_Atl.-sharpnose-shark_grp11","Depth_Small-coastal-sharks_grp12","Depth_Yellowfin-tuna_grp13","Depth_Bluefin-tuna_grp14","Depth_Other-tunas_grp15","Depth_Billfish_grp16","Depth_Swordfish_grp17","Depth_Pelagic-coastal-piscivores_grp18","Depth_Amberjack_grp19","Depth_King-mackerel-(0-1yr)_grp21","Depth_King-mackerel-(1+yr)_grp22","Depth_Spanish-mackerel-(0-1yr)_grp23","Depth_Spanish-mackerel-(1+yr)_grp24","Depth_Skates-rays_grp25","Depth_Gag-grouper-(0-3yr)_grp26","Depth_Gag-grouper-(3+yr)_grp27","Depth_Red-grouper-(0-3yr)_grp28","Depth_Red-grouper-(3+yr)_grp28","Depth_Yellowedge-grouper-(0-3yr)_grp30","Depth_Yellowedge-grouper-(3+yr)_grp31","Depth_Goliath-grouper_grp32","Depth_Deep-water-grouper_grp33","Depth_Shallow-water-grouper_grp34","Depth_Red-snapper-(0yr)_grp35","Depth_Red-snapper-(1-2yr)_grp36","Depth_Red-snapper-(3+yr)_grp37","Depth_Vermilion-snapper_grp38","Depth_Mutton-snapper_grp39","Depth_Other-snapper_grp40","Depth_Inshore-coastal-piscivores_grp41","Depth_Sea-trout_grp42","Depth_Oceanic-piscivores_grp43","Depth_Benthic-piscivores_grp44","Depth_Reef-piscivores_grp45","Depth_Reef-invert.-fdrs._grp46","Depth_Dem.-cstl.-invrt.-fdrs._grp47","Depth_Bnthc.-cstl.-invrt.-fdrs._grp49","Depth_Tilefish_grp50","Depth_Gray-triggerfish_grp51","Depth_Coastal-omnivores_grp52","Depth_Reef-omnivores_grp53","Depth_Lrg.-oceanic-planktivores_grp55","Depth_Sardine-herring-scad_grp57","Depth_Menhaden_grp58,59,60,61,62","Depth_Anchovy-silverside-killifish_grp63","Depth_Mullet_grp64","Depth_Butterfish_grp65","Depth_Red-drum_grp48","Depth_Pink-shrimp_grp67","Depth_Brown-shrimp_grp68","Depth_White-shrimp_grp69","Depth_Crab_grp70","Depth_Sessile-epifauna_grp71","Depth_Mobile-epifauna_grp72","Depth_Seagrass_grp76"
"18","0.72","0.136842105263158","0.108333333333333","1","0","0.45","1","0.266666666666667","0.266666666666667","0.145454545454545","0","0","1","1","1","1","1","1","1","0.9","0.153846153846154","0.9","0.153846153846154","0","0","0.695652173913043","0","1","1","0.866666666666667","0","0","0.6","1","0.35","0","0","0.134020618556701","0.481481481481481","0.382352941176471","1","1","0","0.72","1","1","0.0857142857142857","0.304347826086957","1","1","1","0.08","0.35","1","0.666666666666667","1","1","0.827586206896552","0.911111111111111","0"
"19","0.76","0.147368421052632","0.116666666666667","1","0","0.475","1","0.3","0.3","0.163636363636364","0","0","1","1","1","1","1","1","1","0.95","0.173076923076923","0.95","0.173076923076923","0","0","0.739130434782609","0","1","1","0.933333333333333","0","0","0.633333333333333","1","0.3","0","0","0.144329896907216","0.518518518518518","0.411764705882353","1","1","0","0.76","1","1","0.0928571428571429","0.326086956521739","1","1","1","0.0933333333333333","0.3","1","0.703703703703704","1","1","0.816091954022989","0.9","0"
"20","0.8","0.157894736842105","0.125","1","0","0.5","1","0.333333333333333","0.333333333333333","0.181818181818182","0","0","1","1","1","1","1","1","1","1","0.192307692307692","1","0.192307692307692","0","0","0.782608695652174","0","1","1","1","0","0","0.666666666666667","1","0.25","0","0","0.154639175257732","0.555555555555556","0.441176470588235","1","1","0","0.8","1","1","0.1","0.347826086956522","1","1","1","0.106666666666667","0.25","1","0.740740740740741","1","1","0.804597701149425","0.888888888888889","0"
"21","0.84","0.168421052631579","0.133333333333333","1","0.00555555555555556","0.525","1","0.366666666666667","0.366666666666667","0.2","0","0","0.9875","1","1","1","1","1","1","1","0.211538461538462","1","0.211538461538462","0","0","0.826086956521739","0","1","1","1","0.0285714285714286","0","0.7","1","0.2","0","0","0.164948453608247","0.592592592592593","0.470588235294118","0.966666666666667","0.994652406417112","0","0.84","0.95","1","0.107142857142857","0.369565217391304","1","0.947368421052632","1","0.12","0.2","1","0.777777777777778","1","1","0.793103448275862","0.877777777777778","0"
"22","0.88","0.178947368421053","0.141666666666667","1","0.0111111111111111","0.55","1","0.4","0.4","0.218181818181818","0","0","0.975","1","1","1","1","1","1","1","0.230769230769231","1","0.230769230769231","0","0","0.869565217391304","0","1","1","1","0.0571428571428571","0","0.733333333333333","1","0.15","0","0","0.175257731958763","0.62962962962963","0.5","0.933333333333333","0.989304812834225","0","0.88","0.9","1","0.114285714285714","0.391304347826087","1","0.894736842105263","1","0.133333333333333","0.15","1","0.814814814814815","1","1","0.781609195402299","0.866666666666667","0"
"23","0.92","0.189473684210526","0.15","1","0.0166666666666667","0.575","1","0.433333333333333","0.433333333333333","0.236363636363636","0","0","0.9625","1","1","1","1","1","1","1","0.25","1","0.25","0","0","0.91304347826087","0","1","1","1","0.0857142857142857","0","0.766666666666667","1","0.1","0","0","0.185567010309278","0.666666666666667","0.529411764705882","0.9","0.983957219251337","0","0.92","0.85","1","0.121428571428571","0.41304347826087","1","0.842105263157895","1","0.146666666666667","0.1","1","0.851851851851852","1","1","0.770114942528736","0.855555555555556","0"
"24","0.96","0.2","0.158333333333333","1","0.0222222222222222","0.6","1","0.466666666666667","0.466666666666667","0.254545454545455","0","0","0.95","1","1","1","1","1","1","1","0.269230769230769","1","0.269230769230769","0","0","0.956521739130435","0","1","1","1","0.114285714285714","0","0.8","1","0.05","0","0","0.195876288659794","0.703703703703704","0.558823529411765","0.866666666666667","0.978609625668449","0","0.96","0.8","1","0.128571428571429","0.434782608695652","1","0.789473684210526","1","0.16","0.05","1","0.888888888888889","1","1","0.758620689655172","0.844444444444444","0"
"25","1","0.210526315789474","0.166666666666667","1","0.0277777777777778","0.625","1","0.5","0.5","0.272727272727273","0","0","0.9375","1","1","1","1","1","1","1","0.288461538461538","1","0.288461538461538","0","0","1","0","1","1","1","0.142857142857143","0","0.833333333333333","1","0","0","0","0.206185567010309","0.740740740740741","0.588235294117647","0.833333333333333","0.973262032085561","0","1","0.75","1","0.135714285714286","0.456521739130435","1","0.736842105263158","1","0.173333333333333","0","1","0.925925925925926","1","1","0.747126436781609","0.833333333333333","0"
"26","1","0.221052631578947","0.175","1","0.0333333333333333","0.65","1","0.533333333333333","0.533333333333333","0.290909090909091","0","0","0.925","1","1","1","1","1","1","1","0.307692307692308","1","0.307692307692308","0","0","1","0","1","1","1","0.171428571428571","0.0666666666666667","0.866666666666667","1","0","0","0","0.216494845360825","0.777777777777778","0.617647058823529","0.8","0.967914438502674","0","1","0.7","1","0.142857142857143","0.478260869565217","0.971428571428571","0.684210526315789","1","0.186666666666667","0","1","0.962962962962963","1","1","0.735632183908046","0.822222222222222","0"
"27","1","0.231578947368421","0.183333333333333","1","0.0388888888888889","0.675","1","0.566666666666667","0.566666666666667","0.309090909090909","0","0","0.9125","1","1","1","1","1","1","1","0.326923076923077","1","0.326923076923077","0","0","1","0","1","1","1","0.2","0.133333333333333","0.9","1","0","0","0","0.22680412371134","0.814814814814815","0.647058823529412","0.766666666666667","0.962566844919786","0","1","0.65","1","0.15","0.5","0.942857142857143","0.631578947368421","1","0.2","0","1","1","1","1","0.724137931034483","0.811111111111111","0"
