"","Coastal dolphins","Offshore dolphins","Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas","Billfish","Swordfish","Pelagic coastal piscivores","Amberjack","Cobia","King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)","Skates-rays","Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders","Tilefish","Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Sardine-herring-scad","Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)","Anchovy-silverside-killifish","Mullet","Butterfish","Cephalopod","Pink shrimp","Brown shrimp","White shrimp","Crab","Sessile epifauna","Mobile epifauna","Zooplankton","Infauna","Algae","Seagrass","Detritus"
"546","0","0.999999999421239","0.950997129166343","2.32380337195082e-10","0.999975460468685","0.822614550575265","0.999991016121361","0.999966261500898","0.00049529351122557","0.999972201417599","0.00323125803143987","0.999930358912361","0.999999725810179","0.995505874740309","0.999999999921634","1.59638681397345e-05","0.970733235024399","1","0","1.09793250824275e-07","0","0","6.8938111896788e-07","8.41549052665869e-14","6.47990239244223e-09","0","6.47990239244223e-09","0.957405423141138","3.14903658704679e-11","0.998285839815463","2.40389735894908e-08","0","8.08242361927114e-14","4.55402877186373e-07","0.0275467878443783","2.44249065417534e-15","0.000694079795174218","1.42371292533028e-09","0","0.999912452588372","0.752927538801213","5.42764129307649e-07","4.04260193098693e-08","3.88578058618805e-14","3.77475828372553e-15","0","0.0361668443775729","6.21014351054328e-12","1.63868918434673e-12","2.20388152172291e-11","1.53667345514918e-09","0.999996458810585","3.03949994617803e-06","0","0","0","0","0","2.79776202205539e-14","8.17616425552448e-06","2.88789059332828e-09","0.999943475696587","0.0193282860008649","3.68867204806334e-05","1.00060359997656e-09","1.0058398558499e-11","5.6843418860808e-14","8.19069478907863e-10","0","1.2995093889856e-10","0","0","0.999999792495963"
"547","0","0.9999999994502","0.949860161078416","2.19970708315032e-10","0.999976246339042","0.819379224859471","0.999990854110119","0.999967464217543","0.00047894669220494","0.999971455901484","0.00310411147403045","0.999932652293059","0.999999720133068","0.995376406515325","0.999999999926145","1.52474454427898e-05","0.969916458545183","1","0","1.04865900740769e-07","0","0","6.56809408194903e-07","7.83817455385361e-14","5.97470961594126e-09","0","5.97470961594126e-09","0.955817411271582","2.95830027141619e-11","0.998236412535093","2.28286455294935e-08","0","7.52731210695856e-14","4.32614097212181e-07","0.0266902508310879","2.22044604925031e-15","0.000663102209318422","1.35203093165615e-09","0","0.999915447372287","0.746913441194188","5.17526898446974e-07","3.82965691381187e-08","3.64153152077051e-14","3.33066907387547e-15","0","0.0347730746332876","5.79913894682704e-12","1.53255186319257e-12","2.07038830524198e-11","1.45095824244379e-09","0.999996371699875","2.8966630670757e-06","0","0","0","0","0","2.59792187762287e-14","7.85344167175683e-06","2.69683209097593e-09","0.999945226261007","0.0188271755024871","3.55113399047591e-05","9.43473743575396e-10","9.45465927770783e-12","5.32907051820075e-14","7.79275977080829e-10","0","1.22216903264416e-10","0","0","0.999999787945276"
"548","0","0.999999999477713","0.948698236052275","2.08223660536078e-10","0.999977007042741","0.816098082091307","0.999990689177267","0.999968624060855","0.000463139138620616","0.999970690392335","0.00298195303073623","0.999934870154367","0.999999714338412","0.995243226349255","0.999999999930396","1.45631737257235e-05","0.969077613593117","1","0","1.0015968254784e-07","0","0","6.25776636620223e-07","7.28306304154103e-14","5.5089031114619e-09","0","5.5089031114619e-09","0.954173028972011","2.7790880707812e-11","0.998185562624748","2.16792557239387e-08","0","6.99440505513849e-14","4.1096568847987e-07","0.0258596386611997","1.99840144432528e-15","0.000633506312557097","1.28395805099046e-09","0","0.999918339720298","0.740803347458913","4.93463137574146e-07","3.62792880181928e-08","3.39728245535298e-14","3.10862446895044e-15","0","0.0334311538696075","5.41566791412151e-12","1.43329792479108e-12","1.94497751238032e-11","1.37002409417164e-09","0.999996282446312","2.76053858083714e-06","0","0","0","0","0","2.39808173319034e-14","7.54345722253635e-06","2.51841369980355e-09","0.999946922613116","0.018338813981304","3.4187240847916e-05","8.89605722420583e-10","8.88689122291453e-12","4.9960036108132e-14","7.41415817628877e-10","0","1.14943166096282e-10","0","0","0.999999783294789"
"549","0","0.999999999503849","0.947510872868671","1.97104110810642e-10","0.999977743385679","0.812770954145282","0.999990521270117","0.999969742559047","0.000447853076867677","0.999969904354017","0.00286458816684132","0.999937014982766","0.999999708423777","0.995106228859519","0.999999999934402","1.39096101867686e-05","0.968216144904701","1","0","9.56646717398257e-08","0","0","5.96210093073424e-07","6.77236045021345e-14","5.07941222416264e-09","0","5.07941222416264e-09","0.95247048953526","2.61075605578753e-11","0.99813324928941","2.05877359604756e-08","0","6.50590692430342e-14","3.90400585525974e-07","0.0250542101160574","1.99840144432528e-15","0.000605230554093006","1.2193126508464e-09","0","0.999921133135639","0.734598157528059","4.70518283224308e-07","3.4368267898266e-08","3.19744231092045e-14","3.10862446895044e-15","0","0.0321392945827388","5.05728792177251e-12","1.34048327993241e-12","1.8271606450071e-11","1.29360455680683e-09","0.999996190997184","2.63081105078555e-06","0","0","0","0","0","2.22044604925031e-14","7.24570813015468e-06","2.35179942187358e-09","0.999948566431611","0.0178628895345381","3.29125113900375e-05","8.38813241088587e-10","8.35331803727968e-12","4.68514116391816e-14","7.05395075684123e-10","0","1.08102415907751e-10","0","0","0.999999778542314"
"550","0","0.999999999528677","0.946297584147316","1.86578308358776e-10","0.999978456147952","0.809397690748557","0.999990350335036","0.999970821185869","0.000433071318086675","0.99996909723602","0.00275182984525446","0.999939089182891","0.999999702386679","0.99496530573253","0.999999999938177","1.32853767672581e-05","0.96733148555916","1","0","9.13713903427649e-08","0","0","5.68040501747191e-07","6.30606677987089e-14","4.68340588533067e-09","0","4.68340588533067e-09","0.950707965806375","2.45261588815993e-11","0.998079430573096","1.95511727918429e-08","0","6.06181771445335e-14","3.70864579157804e-07","0.0242732424972049","1.77635683940025e-15","0.000578216118386599","1.15792198052134e-09","0","0.999923831001775","0.728298898853027","4.48640309458348e-07","3.25579110338481e-08","2.99760216648792e-14","2.88657986402541e-15","0","0.0308957601332366","4.72266670215049e-12","1.25366383940673e-12","1.71649361391246e-11","1.22144760972276e-09","0.999996097298482","2.50717986360893e-06","0","0","0","0","0","2.06501482580279e-14","6.95971146158492e-06","2.1962078822213e-09","0.999950159343218","0.0173990972512781","3.16853108831561e-05","7.90920662296912e-10","7.85194131935896e-12","4.39648317751562e-14","6.71124267270784e-10","0","1.01668895524654e-10","0","0","0.999999773685614"
"551","0","0.999999999552262","0.945057876421689","1.7661472284658e-10","0.999979146084674","0.805978160100565","0.99999017631742","0.999971861362542","0.000418777238993306","0.999968268473072","0.00264349824443644","0.99994109508022","0.999999696224583","0.994820345645734","0.999999999941735","1.26891572469479e-05","0.966423056867208","1","0","8.72707844878917e-08","0","0","5.41201859549645e-07","5.86197757002083e-14","4.3182732945013e-09","0","4.3182732945013e-09","0.948883590539363","2.30406804746508e-11","0.998024063326336","1.85667990981742e-08","0","5.6399329650958e-14","3.52306172013428e-07","0.023516031331562","1.55431223447522e-15","0.000552406804186556","1.09962217109683e-09","0","0.999926436586491","0.721906728447832","4.27779608624945e-07","3.08429154438628e-08","2.79776202205539e-14","2.66453525910038e-15","0","0.0296988641444275","4.41024994302097e-12","1.17239551400417e-12","1.61251012542607e-11","1.15331544314756e-09","0.99999600129487","2.38935853269506e-06","0","0","0","0","0","1.90958360235527e-14","6.68500334422006e-06","2.05091010840874e-09","0.999951702924302","0.0169471390889712","3.05038672963054e-05","7.45762784859494e-10","7.38054062310312e-12","4.10782519111308e-14","6.38518571349778e-10","0","9.56181800404465e-11","0","0","0.999999768722405"
"552","0","0.999999999574667","0.943791250223454","1.67183156207784e-10","0.999979813926784","0.802512249490392","0.999989999161681","0.999972864459637","0.000404954763333798","0.999967417484744","0.0025394204864031","0.999943034923685","0.999999689934901","0.99467123418779","0.999999999945089","1.21196944695701e-05","0.965490268267415","1","0","8.33542074252236e-08","0","0","5.15631282671514e-07","5.44009282066327e-14","3.98160771020173e-09","0","3.98160771020173e-09","0.94699545687985","2.16449080880921e-11","0.997967103172769","1.76319870925923e-08","0","5.24025267623074e-14","3.3467644466878e-07","0.0227818900697659","1.33226762955019e-15","0.000527748908859982","1.04425779134942e-09","0","0.999928953045847","0.715422934636009","4.0788887989418e-07","2.92182573691235e-08","2.62012633811537e-14","2.44249065417534e-15","0","0.0285469698317047","4.11848333214948e-12","1.0964562591198e-12","1.51483270371955e-11","1.08898379203026e-09","0.999995902929649","2.27707403410715e-06","0","0","0","0","0","1.77635683940025e-14","6.4211382144741e-06","1.9152250896326e-09","0.999953198702424","0.0165067237502765","2.93664746565669e-05","7.0318306732986e-10","6.93733959167275e-12","3.84137166520304e-14","6.07496941640306e-10","0","8.99273988608229e-11","0","0","0.999999763650349"
"553","0","0.999999999595951","0.942497200176911","1.58255186732958e-10","0.999980460381813","0.798999865910759","0.999989818811231","0.999973831798871","0.000391588343942373","0.999966543675047","0.00243943037448535","0.999944910888184","0.99999968351499","0.994517853776853","0.999999999948249","1.15757876917311e-05","0.964532517230842","1","0","7.96134002056803e-08","0","0","4.91268857594207e-07","5.06261699229071e-14","3.67118935251654e-09","0","3.67118935251654e-09","0.945041618983209","2.03339567406147e-11","0.997908504474845","1.67442416598718e-08","0","4.86277684785819e-14","3.17928924964406e-07","0.0220701497787121","1.33226762955019e-15","0.000504191117793096","9.9168095957225e-10","0","0.999931383427997","0.708848938480879","3.88923022232035e-07","2.76791786157915e-08","2.46469511466785e-14","2.22044604925031e-15","0","0.0274384892707984","3.84603460190647e-12","1.02540198554379e-12","1.42308387296453e-11","1.02824060377316e-09","0.999995802144725","2.17006617397875e-06","0","0","0","0","0","1.64313007644523e-14","6.16768809480472e-06","1.78851666809976e-09","0.999954648157851","0.0160775665603999","2.82714905885939e-05","6.6303451617955e-10","6.52100595743832e-12","3.61932706027801e-14","5.77982550709066e-10","0","8.45754577483149e-11","0","0","0.99999975846706"
"554","0","0.99999999961617","0.941175215103908","1.49803947024907e-10","0.999981086134638","0.795440936667409","0.999989635208459","0.999974764654857","0.000378662945385133","0.99996564643201","0.00234336814053848","0.999946725077021","0.999999676962155","0.994360083576923","0.999999999951228","1.10562900534905e-05","0.963549189174631","1","0","7.60404748056942e-08","0","0","4.68057502200914e-07","4.70734562441066e-14","3.38497230245594e-09","0","3.38497230245594e-09","0.943020092778086","1.91022753170955e-11","0.997848220298591","1.59011930289665e-08","0","4.52970994047064e-14","3.02019466102976e-07","0.0213801588292595","1.11022302462516e-15","0.00048168439864571","9.41751121530388e-10","0","0.999933730676873","0.702186294880321","3.70839031371695e-07","2.62211712342975e-08","2.30926389122033e-14","2.22044604925031e-15","0","0.0263718826125822","3.59157148466238e-12","9.5901064867121e-13","1.33688615733263e-11","9.70885594142601e-10","0.999995698880576","2.06808698588468e-06","0","0","0","0","0","1.53210777398272e-14","5.92424189971297e-06","1.67019109653666e-09","0.99995605272502","0.0156593893450218","2.72173339430637e-05","6.25178131485882e-10","6.12931927435056e-12","3.37507799486048e-14","5.49901901791827e-10","0","7.95421506438743e-11","0","0","0.999999753170098"
"555","0","0.999999999635377","0.939824778139628","1.41804123998668e-10","0.999981691848207","0.791835409982661","0.999989448294715","0.999975664256776","0.000366164027168936","0.999964725127255","0.0022510802012905","0.99994847952426","0.999999670273643","0.994197799412253","0.999999999954035","1.05601061586302e-05","0.962539657385309","1","0","7.26278963636418e-08","0","0","4.45942830995527e-07","4.37427871702312e-14","3.12106962496728e-09","0","3.12106962496728e-09","0.940928856885593","1.79452008808312e-11","0.997786202377436","1.51005905557611e-08","0","4.21884749357559e-14","2.86906131408138e-07","0.0207112825800064","1.11022302462516e-15","0.000460181900249323","8.94335272505487e-10","0","0.999935997635748","0.695436693308164","3.53595902558013e-07","2.48399647517772e-08","2.1538326677728e-14","1.99840144432528e-15","0","0.0253456572514464","3.3539837573926e-12","8.96838159292201e-13","1.25590648991647e-11","9.16729803179805e-10","0.999995593076217","1.97090015596757e-06","0","0","0","0","0","1.4210854715202e-14","5.69040476905425e-06","1.55969392956479e-09","0.999957413793957","0.0152519203089225","2.62024825161689e-05","5.89483351021158e-10","5.76139136398979e-12","3.17523785042795e-14","5.23185716971852e-10","0","7.48081596668726e-11","0","0","0.999999747756971"
"556","0","0.999999999653624","0.938445366859704","1.34231514792305e-10","0.999982278164237","0.788183255591859","0.999989258010294","0.999976531789999","0.000354077527496499","0.999963779115554","0.00216241892354041","0.999950176197005","0.999999663446646","0.994030873679749","0.99999999995668","1.00861897672777e-05","0.961503282952545","1","0","6.93684695241004e-08","0","0","4.24873028093131e-07","4.08562073062058e-14","2.87774160057097e-09","0","2.87774160057097e-09","0.938765853704723","1.68580704951182e-11","0.997722401075064","1.43402971719553e-08","0","3.90798504668055e-14","2.72549081858919e-07","0.0200629030579735","1.11022302462516e-15","0.000439638855948443","8.49306847072739e-10","0","0.999938187050676","0.688601958185403","3.37154537621842e-07","2.35315137375736e-08","2.02060590481778e-14","1.77635683940025e-15","0","0.0243583669537683","3.13216119707249e-12","8.38662472801843e-13","1.17983400826915e-11","8.65594929067015e-10","0.999995484669161","1.87828047526484e-06","0","0","0","0","0","1.31006316905768e-14","5.46579742788378e-06","1.45650691507626e-09","0.999958732711654","0.0148548939154033","2.52254708513755e-05","5.55826495940437e-10","5.41544586951659e-12","2.97539770599542e-14","4.97767382867664e-10","0","7.03561653381257e-11","0","0","0.999999742225131"
